"Violations","name","Best_Seed","ARI","AMI","NMI","Mean_Silhouette","Clusters","number_features","number_instances","Cardinality_BAT","Cardinality_REAL","Execution_Time"
0,"fri_c3_1000_5",5279,0.0472361829024783,0.0307984377296456,0.0315068020358721,0.344423004047022,2,6,1000,"437, 563","437, 563",9.78358697891235
0,"chscase_vine2",8349,0.00374355602030384,0.00389804961618765,0.00544834066429694,0.51122107565343,2,3,468,"256, 212","256, 212",3.16553401947021
0,"chatfield_4",967,0.409449286455119,0.305655087408221,0.30787192661522,0.373704462902015,2,13,235,"142, 93","142, 93",1.62239384651184
0,"fri_c1_500_10",6626,0.213682338548383,0.157037311254597,0.158265383589919,0.130979100676402,2,11,500,"226, 274","226, 274",4.86250805854797
0,"disclosure_x_noise",6626,-0.00106712502821736,-0.000771435832573288,0.000321557626274961,0.371348586497632,2,4,662,"329, 333","329, 333",3.86917805671692
0,"fri_c2_250_10",6626,0.316529196973436,0.218135151486432,0.220537762418571,0.105247362665717,2,11,250,"91, 159","91, 159",1.71983909606934
0,"stock",7712,0.047861927470812,0.0346300122823918,0.0353645836446278,0.458236752147214,2,10,950,"488, 462","488, 462",10.9318900108337
0,"fri_c0_1000_10",4539,0.0272508058378341,0.0196853744885237,0.0203937516884404,0.0765117999128018,2,11,1000,"491, 509","491, 509",12.3532979488373
0,"fri_c4_500_10",967,0.00875631694371166,0.0050020046247536,0.00645327960958768,0.155202623266965,2,11,500,"224, 276","224, 276",4.44220399856567
0,"vinnie",2791,0.438298112949567,0.344444281658098,0.345694283201583,0.471080407094531,2,3,380,"185, 195","185, 195",1.63203310966492
0,"fri_c4_250_10",4058,-0.00395181655580143,-0.00290898407778479,1.11174960517108e-05,0.128408868611628,2,11,250,"117, 133","117, 133",1.4761118888855
0,"fri_c2_500_10",7712,0.228585833539166,0.164842075347234,0.166069214032004,0.12820784611543,2,11,500,"214, 286","214, 286",4.48880195617676
0,"fri_c1_500_5",294,0.178126582917839,0.138105631785774,0.139357050707105,0.242043742355087,2,6,500,"233, 267","233, 267",3.0027129650116
0,"pollen",430,-7.73478711245204e-05,-5.58175200768268e-05,0.000131732921267028,0.301483804303108,2,6,3848,"1924, 1924","1924, 1924",125.5823969841
