"cluster","sil_width"
1,-0.801848566004399
1,-0.779366054855034
1,-0.843874632019162
1,-0.859468195636054
1,-0.869998168970338
1,-0.84429689235859
1,-0.866648883208519
1,-0.869297859540865
1,-0.789673133615552
1,-0.859147745079213
1,-0.8705796557595
1,-0.847168508118463
1,-0.864442080714202
1,-0.85994864770801
2,0.48873211365645
1,-0.779265715488277
1,-0.587557408500836
1,-0.716176345785447
1,-0.854730461487866
1,-0.853814906787146
1,-0.705298509693695
1,-0.808305367492588
1,-0.85810655594153
1,-0.85392052211359
1,-0.865355448585762
1,-0.868623014696372
1,-0.867970273597981
1,-0.867983501238561
1,-0.853298204716212
1,-0.853802407493574
1,-0.560647443747994
1,-0.856232796594394
1,-0.86384940928305
1,-0.773499984244699
1,-0.853552586843561
1,-0.852612239690485
1,-0.860800876489313
1,-0.859551848428223
1,-0.864364000342373
1,-0.864934006177996
1,-0.869764132264354
1,-0.813056310156665
1,-0.870115560178801
3,-0.326910342022892
1,-0.85668888025108
1,-0.852218945632997
1,-0.866629344018035
1,-0.834938967226515
1,-0.689762961460238
1,-0.870562364930352
1,-0.867764268568145
1,-0.577810138971883
1,-0.870005258288425
2,0.281085271362488
1,-0.853096648520676
1,-0.854304092546238
1,-0.869899189626787
1,-0.852713716523189
1,-0.866566636317144
1,-0.585877366312577
1,-0.855457872497642
1,-0.87011256129419
1,-0.61220743722829
1,-0.853575865993163
1,-0.829799313779267
1,-0.869242060206005
1,-0.869796873368816
1,-0.869125984924989
1,-0.853749833971651
1,-0.860216049171564
1,-0.852490434089892
1,-0.724332999105414
1,-0.723736361285148
4,0.811963045649873
4,0.833072086511092
4,0.841030523775037
4,0.464954724390029
4,0.5620838489473
4,0.84781762258509
4,0.849691528873021
4,0.839266056018286
4,0.817602259776552
4,0.831778384867594
4,0.747533905859213
4,0.839123423586523
4,0.84835831362681
4,0.837691644993542
4,0.849117609430882
4,0.838081924459209
4,0.826276992422298
4,0.834204076654143
4,0.848516598767492
4,0.581447221255715
4,0.832040367162726
4,0.849568677946199
4,0.848975300337872
4,0.84615426879039
4,0.843244617195734
4,0.830570891959905
4,0.850109217393545
4,0.836828242924246
4,0.761030543427804
4,0.850208376737871
4,0.832704733262467
4,0.844817566037931
4,0.836370436407479
4,0.845435557015166
4,0.837615279884381
4,0.69520687561585
4,0.848428861754022
4,0.837220563090565
4,0.840472694301633
4,0.841118563254742
4,0.846837778864906
4,0.835233552041978
4,0.84460163298023
4,0.830876707409971
4,0.715900447014153
4,0.810770319929581
2,0.438362013472631
2,0.515213583144619
4,0.820095546766442
4,0.834005536486128
4,0.837978182987303
4,0.639215021692527
4,0.77699096457165
4,0.832634014212648
4,0.848441982234656
4,0.842984598581804
4,0.837426582338221
4,0.844350069192839
4,0.817263847726951
4,0.718068077606639
4,0.850208471825257
4,0.447091801802687
4,0.683451862081458
4,0.681313997321101
4,0.793584767611014
4,0.839470757281425
4,0.844794342400914
4,0.845690739902089
4,0.831526816673352
4,0.838806598134365
4,0.849632290100526
4,0.845052701092801
4,0.850194099452488
4,0.848557151978537
4,0.274346591508223
4,0.842713990260431
4,0.842145293826255
2,0.605022234265562
4,0.714207296959312
4,0.835511502647875
4,0.835421779216815
4,0.837312128025166
4,0.846575391073702
4,0.811195964804806
4,0.802242572106326
4,0.832983512756791
4,0.84925112844397
4,0.84914202348854
4,0.832235404356235
2,0.480437506759475
4,0.83614998573826
4,0.83827677917011
4,0.849509277132582
4,0.85020839938314
4,0.847946566690923
4,0.665015228959092
4,0.831415198624971
4,0.764473489143282
4,0.838315237088481
4,0.832388260042286
4,0.650336198793086
4,0.848673144762193
2,0.429191388480962
4,0.398890937505169
4,0.831226405573859
4,0.849899694138836
4,0.83622705392607
4,0.848420515742672
4,0.841828198123048
4,0.70034277967398
4,0.669369786926037
4,0.644660051344857
4,0.841445717914869
